Dlaczego choinka nie je?                                              Bo jodla!
Na czym stoi prad?                                                    Napiecie!
Co zamawia zboczeniec w kawiarni?                                     Malolate!
Czemu deszcz poszedl do wiezienia?                                    Bo NAPADAL!
Kto najbardziej lubi pic cole?                                        Kolarz!
Jak sie nazywaja spodnie jakaly?                                      Ga ga tki!
Czym mozna zmierzyc ilosc piasku?                                     Sandomierzem!
Jak sie nazywa doktor leczacy pandy?                                  Pandoktor!
Co robia dwie herbaty na ringu?                                       Naparzaja sie!
Dlaczego wyplata jest zludzeniem?                                     Bo sie wydaje!
Jak sprzedac odbezpieczony granat?                                    Szybko!
Wymarzona zona Kaczynskiego?                                          rozWODKA!
Co zrobil rudy, podczas gdy ludzie robili fale na stadionie?          Utopil sie!
Co robi matematyk w kinie?                                            Szuka miejsc zerowych!
Co omawia biolog?                                                     Omawialiscie!
Jak witaja sie japonscy kolarze?                                      Shimano!
Czemu niewidome dzieci lubia bulki z makiem?                          Na kazdej jest inna historia!
Jakie spodnie nosi brukarz?                                           Do kostek!
Jak sie ustawiac w kolejce w miesnym?                                 Boczkiem!
Co robi diabel w ogrodzie?                                            Rozsiewa zlo!
Jak sie smieje las?                                                   Mech, mech, mech!
Jak sie nazywa bon na zupe we Francji?                                BonZur!
Jaka jajecznice lubi kat?                                             Dobrze scieta!
Jak sie nazywa chudy but?                                             ChuderLaczek!
Jak nazywa sie dom Konrada?                                           KonDom!
Co mowi siatkarz w barze?                                             Po secie!
